lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
0,26,201,102,104,20,258,90
0,152,296,103,106,30,347,90
0,40,390,104,106,20,434,90
0,153,472,107,105,10,539,90
0,14,567,100,106,10,626,90
0,169,567,105,110,20,634,90
0,89,668,103,111,20,719,90
0,105,754,102,110,10,814,90
0,15,846,99,112,20,911,90
0,59,952,99,108,20,992,90
0,198,1038,101,107,10,1090,90
1,0,0,70,70,0,1351,0
1,113,15,67,55,10,62,90
1,155,79,63,57,10,140,90
1,78,173,62,58,20,229,90
1,175,262,61,54,10,329,90
1,13,364,63,50,10,416,90
1,43,448,61,48,20,517,90
1,2,553,59,52,20,602,90
1,90,641,57,53,10,697,90
1,67,745,59,56,20,780,90
1,17,824,57,59,10,890,90
1,39,931,61,59,20,971,90
1,107,1011,64,61,20,1077,90
2,161,76,10,118,10,144,90
2,104,142,8,119,20,197,90
2,18,231,8,124,10,298,90
2,54,319,4,125,30,398,90
2,185,425,5,119,20,484,90
2,132,515,0,117,30,585,90
2,7,616,1,109,10,680,90
2,181,720,6,113,20,768,90
2,117,801,7,115,10,872,90
2,49,904,9,114,20,954,90
3,148,70,127,29,20,141,90
3,103,128,127,28,30,195,90
3,197,229,130,27,30,280,90
3,124,311,132,24,10,384,90
3,141,406,136,29,10,482,90
3,69,508,134,31,20,566,90
3,200,604,131,31,20,657,90
4,57,53,21,48,10,123,90
4,118,115,21,44,20,180,90
4,83,205,17,43,10,279,90
4,143,314,16,39,20,358,90
4,176,387,16,38,20,466,90
4,36,493,17,37,30,544,90
4,33,582,18,38,30,638,90
4,121,665,19,37,20,738,90
4,165,764,19,39,10,823,90
4,188,855,20,39,10,913,90
4,108,950,22,38,20,1003,90
5,114,65,39,128,10,133,90
5,159,137,40,132,20,182,90
5,38,215,43,135,10,293,90
5,150,310,42,136,10,381,90
5,22,410,43,140,10,470,90
5,151,509,36,132,10,571,90
5,16,598,36,135,10,669,90
5,140,704,34,138,20,749,90
5,187,792,30,136,10,850,90
5,142,890,33,133,20,941,90
5,111,979,33,131,30,1037,90
5,63,1079,32,128,20,1123,90
5,56,1130,35,123,20,1198,90
6,20,33,103,69,30,93,90
6,41,95,109,71,20,163,90
6,85,193,112,71,20,252,90
6,80,286,113,71,10,341,90
6,31,370,113,69,20,440,90
6,25,462,112,67,10,534,90
6,172,561,111,66,20,617,90
6,77,650,110,66,10,710,90
6,110,748,107,63,30,800,90
6,162,840,102,60,30,900,90
7,101,35,35,76,10,91,90
7,144,100,32,77,20,157,90
7,119,188,28,74,20,260,90
7,166,284,27,77,10,349,90
7,35,380,25,80,20,440,90
7,126,479,28,78,10,529,90
7,71,561,30,79,20,632,90
7,9,655,32,79,20,721,90
7,1,750,33,78,20,809,90
7,99,841,34,79,10,902,90
7,53,928,34,82,10,1000,90
8,73,35,87,39,20,92,90
8,116,98,93,36,20,166,90
8,129,285,88,35,20,358,90
8,11,384,86,36,20,443,90
8,6,478,86,37,10,531,90
8,122,568,84,36,10,626,90
8,139,659,84,39,20,720,90
9,62,23,74,93,20,66,90
9,30,32,84,99,20,102,90
9,131,80,74,96,30,153,90
9,44,176,74,99,20,243,90
9,102,273,76,99,20,330,90
9,146,356,77,100,20,429,90
