,source,target,weight
27,461,569.0,1
34,569,482.0,1
29,482,204.0,1
12,204,349.0,1
20,349,246.0,1
15,246,29.0,1
2,29,3.0,1
0,3,232.0,1
14,232,589.0,1
36,589,103.0,1
5,103,441.0,1
25,441,292.0,1
17,292,264.0,1
16,264,174.0,1
11,174,534.0,1
32,534,535.0,1
33,535,164.0,1
9,164,25.0,1
1,25,133.0,1
8,133,125.0,1
7,125,41.0,1
3,41,495.0,1
31,495,304.0,1
19,304,578.0,1
35,578,450.0,1
26,450,387.0,1
21,387,433.0,1
24,433,114.0,1
6,114,410.0,1
23,410,216.0,1
13,216,70.0,1
4,70,486.0,1
30,486,168.0,1
10,168,467.0,1
28,467,397.0,1
22,397,296.0,1
18,296,,1
