lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
2,321,58,252,227,20,218,90
2,543,78,256,235,10,238,90
2,420,182,260,249,30,342,90
2,576,278,254,250,20,438,90
2,186,381,241,251,10,541,90
2,515,478,246,246,20,638,90
2,92,569,246,247,20,729,90
2,649,665,249,252,10,825,90
2,135,758,252,253,10,918,90
2,246,854,252,259,10,1014,90
2,526,945,253,259,10,1105,90
2,251,1048,265,262,30,1208,90
2,330,1141,263,259,10,1301,90
2,36,1237,264,253,20,1397,90
2,224,1332,265,248,10,1492,90
2,145,1426,267,251,20,1586,90
2,619,1525,273,257,20,1685,90
2,107,1620,276,252,30,1780,90
2,749,1715,280,249,20,1875,90
2,686,1818,268,244,10,1978,90
2,568,1912,269,241,10,2072,90
2,570,2217,280,240,30,2377,90
2,438,2310,282,242,10,2470,90
2,68,2406,282,248,10,2566,90
2,162,2506,290,255,20,2666,90
2,450,2602,286,259,30,2762,90
2,486,2707,275,269,10,2867,90
2,27,2811,261,268,10,2971,90
2,781,2892,280,238,20,3052,90
2,287,2920,244,277,20,3080,90
2,205,3016,242,283,20,3176,90
2,678,3124,236,266,30,3284,90
2,477,3217,238,264,20,3377,90
2,501,3314,231,263,20,3474,90
2,572,3419,236,249,30,3579,90
