lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
2,574,115,265,141,22,125,10
2,480,133,283,144,6,143,10
2,59,147,289,143,23,157,10
2,327,281,282,104,19,291,10
2,136,339,289,130,27,349,10
2,565,420,299,153,12,430,10
2,299,597,271,106,22,607,10
2,168,627,271,105,42,637,10
2,14,646,291,148,11,656,10
2,464,658,280,158,34,668,10
2,569,661,275,146,14,671,10
2,458,720,288,127,23,730,10
2,61,780,295,123,29,790,10
2,91,814,274,136,11,824,10
2,48,853,268,113,22,863,10
2,587,910,298,135,7,920,10
2,521,967,271,145,26,977,10
