,source,target,weight
3,67,432.0,1
13,432,256.0,1
6,256,571.0,1
22,571,449.0,1
15,449,412.0,1
11,412,820.0,1
36,820,769.0,1
34,769,847.0,1
38,847,673.0,1
30,673,598.0,1
25,598,215.0,1
5,215,457.0,1
16,457,378.0,1
10,378,502.0,1
18,502,631.0,1
27,631,800.0,1
35,800,55.0,1
2,55,531.0,1
20,531,298.0,1
8,298,612.0,1
26,612,2.0,1
0,2,188.0,1
4,188,574.0,1
23,574,40.0,1
1,40,903.0,1
39,903,923.0,1
40,923,297.0,1
7,297,753.0,1
33,753,952.0,1
41,952,422.0,1
12,422,724.0,1
32,724,478.0,1
17,478,540.0,1
21,540,515.0,1
19,515,844.0,1
37,844,965.0,1
42,965,645.0,1
28,645,650.0,1
29,650,447.0,1
14,447,590.0,1
24,590,324.0,1
9,324,695.0,1
31,695,,1
