,source,target,weight
10,300,629.0,1
25,629,725.0,1
32,725,215.0,1
5,215,298.0,1
8,298,401.0,1
13,401,692.0,1
30,692,768.0,1
34,768,515.0,1
19,515,233.0,1
6,233,672.0,1
27,672,522.0,1
20,522,428.0,1
14,428,713.0,1
31,713,874.0,1
35,874,971.0,1
41,971,958.0,1
40,958,471.0,1
16,471,560.0,1
21,560,891.0,1
38,891,573.0,1
22,573,731.0,1
33,731,690.0,1
29,690,323.0,1
12,323,303.0,1
11,303,89.0,1
0,89,123.0,1
2,123,260.0,1
7,260,683.0,1
28,683,486.0,1
17,486,493.0,1
18,493,889.0,1
36,889,592.0,1
23,592,890.0,1
37,890,91.0,1
1,91,299.0,1
9,299,191.0,1
3,191,956.0,1
39,956,604.0,1
24,604,207.0,1
4,207,447.0,1
15,447,650.0,1
26,650,,1
