lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
18,93,160,273,300,30,280,10
18,275,172,306,235,25,292,10
18,542,244,321,277,10,364,10
18,792,296,321,280,30,416,10
18,989,326,343,276,15,446,10
18,771,340,320,280,10,460,10
18,983,388,318,280,20,508,10
18,271,396,299,353,34,516,10
18,393,442,320,283,30,562,10
18,87,499,316,284,20,619,10
18,402,547,316,286,30,667,10
18,389,592,315,287,30,712,10
18,11,654,313,282,20,774,10
18,992,1882,340,291,22,2002,10
18,655,2468,333,293,27,2588,10
18,834,3267,284,319,17,3387,10
18,224,4682,330,308,24,4802,10
18,67,5015,299,285,3,5135,10
18,384,5214,295,247,12,5334,10
18,527,5281,306,229,10,5401,10
18,284,5322,330,281,14,5442,10
18,296,5398,297,283,28,5518,10
18,269,5506,307,249,10,5626,10
18,178,5916,322,290,23,6036,10
